HOTEL_name,CITY_name,COUNTRY_name,PRICE_range,HOTEL_rating,amneties,HOTEL_address,HOTEL_review
Meraden Opus,Goa,India,,3.6/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,",Near Flea Market Road Anjuna Bardez Goa -403509 View on Map,"I don't have any photo
But let me tell u that t
There was a person on reception ...I dont remember his name though but he was the who handled reception..."
Hotel Suncity,Surat,India,,3.8/5,"Free Internet,Parking Facility,Conference Room,Travel Assistance,","Una Pani Road,Lal Darwaja (Nr.) Surat Railway Station Surat, - 395 003 View on Map","Nice experience, clean room, testy breakfast , nice staff, near to station and bus stand, food is also available near by."
Hotel Isher International,Gandhinagar,India,,3.9/5,"Doctor On Call,Air Conditioning,Laundry Service,CCTV surveillance,","Swagat Rainforest-1, Kudasan-Por Road, Gandhinagar 382421 View on Map","Nice staff. Budget hotel at a very good location. Many restaurants nearby. Rooms are small but good enough for two people.
It is a good area and very convenient stay. Many restaurants nearby."
Green Fort Inn(First Estate),Yercaud,India,,,"Restaurant/Coffee Shop,Parking Facility,Daily housekeeping,Room Service,","Pagodo Point Road, Yercaud - 60060 View on Map",
Hotel Grand Willow,Leh,India,,4.3/5,"Restaurant/Coffee Shop,Laundry Service,Conference Room,Daily housekeeping,","Fort Road, Leh, Jammu and Kashmir - 194101 View on Map",Location is a little out side but rest everything in this hotel is very well maintained. It was really a great ambiance there. A perfect place to have a group stay.
Zonitha Beach hut,Goa,India,,4.6/5,"Smoking Rooms Available,Power backup,Daily housekeeping,Travel Assistance,","North Goa Vicinity, Goa - 403527 View on Map","Sweet beach side huts, we enjoy alot. Sea food was yummy"
Blue Bird Resort,Havelock,India,,4.5/5,"Parking Facility,Outdoor Activities,Travel Assistance,Dining,","Beach No., vijay Nagar, Havelock Island - 744211 View on Map","I was at the blue bird resort in Jan 2020. Overall its a good place to stay and the staff in the hotel are very helpful and courteous.
They provide you decent breakfast more south Indian cuisine.
This property is not on the beach but just 2 minutes walking distance. The rooms were neat and clean.
I'd recommend this place for couples and family.
Since it was a peak season the rates were around ... per night with breakfast which is a good deal comparatively."
Crowne Plaza Okhla,Delhi,India,,4.4/5,"Doctor On Call,Air Conditioning,Banquet hall,Business Services,","Plot No., Community Centre, Okhla Phase -, Delhi-110020 - 100020 View on Map","Great hospitality, neat and clean rooms, amazing breakfast."
Hotel Monsoon,Shillong,India,,3.5/5,"Dining,Power backup,Parking Facility,Daily housekeeping,","Police Bazar,Police Point Next to Centure point Hotel, Shillong - 793001 View on Map","good stay and great experience
good breakfast and great taste
good staff and friendly
clean rooms every time
"
Hotel Hill Town,Leh,India,,4.2/5,"Parking Facility,Travel Assistance,Laundry Service,Dining,","Malpak Upper Turkcha Road, Leh Leh - 194101 View on Map",The hotel is really amazing and value for money. The staff is very cooperative. Rooms are neat and clean with close proximity to the market.
Hotel Anand Palace,Darjeeling,India,,3.7/5,"Free Internet,Conference Room,Laundry Service,CCTV surveillance,","5, Dr. S.M. Das Road, Darjeeling - 734101 View on Map",great person. have a great day spend. good behavior and helpful. please booking goibibo and very helpful application.
Hotel Arya Palace,Puri,India,,3.1/5,"Doctor On Call,Air Conditioning,Restaurant/Coffee Shop,Laundry Service,","Chakratirtha Road. Puri, Orissa - 752002. Near RTO Office. View on Map","I will not recommend to stay in this hotel, if someone dare to want to stay there, they must be ready to fight .... and calling himself owner having attitude ""Jisko jeha bolna hai bol do mera koi kuch nai ker sakta""
Only good this was Restaurant and their staff was very gentle and also food was good."
Mirchi Bite A1- 502 Service Apartment,Kolkata,India,,4.4/5,"Power backup,Restaurant/Coffee Shop,Laundry Service,CCTV surveillance,","98,Christopher Road Brindaban Gardens Building A1,Tangra,China Town, Kolkata - 700046 View on Map",Did not face any issues with the staff services and behavior. All was perfectly okay.
Hotel Jai,Kodaikanal,India,,4.3/5,"Free Internet,Indoor Entertainment,Conference Room,Outdoor Activities,","Lloyd's Rd, Kodaikanalal, 624101 View on Map",Hotel is close to center of Kodaikkanal. They have ample car parking but it gets a bit crowded on weekends. Reception staff is responsive and checkin was fast. Stayed in Heritage room which was good. Room was clean. Bathroom cleanliness can be improved. Towels and bed linen were clean. Basic toiletries were provided. Bedding was comfortable. Restaurant needs special appreciation. Food (we have taken veg) was really yummy. Breakfast spread was good south indian dishes. Staff was quite cheerful. F ...more
Club Mahindra Mashobra,,,,4/517,"Doctor On Call,Air Conditioning,Parking Facility,Outdoor Activities,","Pines Gables, Mashobra - 171007 View on Map",Resort is amazing staff is very good food is excellent. 
"VITS, Aurangabad","Aurangabad, Maharashtra",India,,3.9/5,"Free Internet,Air Conditioning,Swimming Pool,Indoor Entertainment,","Railway Station Road, Vedant Nagar, Aurangabad - 431005 View on Map",excellent stay. service was good. The food was delicious. surrounding was nice. Room was neat and clean. I would like to stay here again if i get the chance.
Hotel Pradhan,Darjeeling,India,,3.5/5,"Air Conditioning,Indoor Entertainment,Parking Facility,Dining,","Hotel Pradhan Niwas, Gandhi Road, Darjeeling - 734101 View on Map",Good and big room in a very good Location
Hotel Mandakini Jaya International,Hyderabad,India,,3.5/5,"Power backup,Room Service,Restaurant/Coffee Shop,Laundry Service,","3/1, 3/2 hanuman tekdi, Abids, Hyd-1, Hyderabad - 500001 View on Map","worst experience.
stink all around
dirty linen
dirty room
dirty toilet
dirty bedsheets
......
will never ever recommend this place."
Hotel Swastik,Jammu,India,,4/512,"Free Internet,Travel Assistance,Laundry Service,Dining,","Gurdwara Sunder Singh Road, Near Raghunath Ji Temple, Jammu - 180001 View on Map","it is really nice hotel, food is delicious and hygienic, rooms are neat and clean"
Hotel Shiv International (100 kms from Ahmedabad),Surendranagar,India,,3.5/5,"Free Internet,Parking Facility,Conference Room,Outdoor Activities,","Unnamed Road, New Atul Society, Laxmi Nagar, Wadhwan, Surendranagar, 363002 - 363001 View on Map","Hotel is good, hotel staff is very good , hostel location is very good , food is also good , hotel room is very spacious, room is very clean , base sheet also clean, room services on time ,"
Legend Sarovar Portico Baddi,Baddi,India,,4.2/5,"Air Conditioning,Indoor Entertainment,Conference Room,Outdoor Activities,","(A Unit of Navkriti Builders Pvt. Ltd. )Village Malpur, Tehsil Baddi District Solan - 173205 View on Map",Good location. Friendly staff. Overall good experience. Located very close to Cipla and Luminous plants for great for business travellers
Hotel Tridev,Katra,India,,3.2/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","General Bus Stand, Katra, Vaishno Devi - 182301 View on Map","Though the hotel has a good location but has to improve in service. When we reached hotel, The person at reception has out rightly refused to give triple sharing in the room and asking for charge for third person However my booking was on triple sharing basis and the same was charged by Goibibo.. It took time to resolve the issue after complain to booking agency Goibibo. As we are staying after Mata Darshan, all the person are tired and required rest for some time , as we have to catch the train in the evening after rest, the hotel experience is not Good."
Hotel Sai Regency,Mahabaleshwar,India,,3.7/5,"Air Conditioning,Laundry Service,Power backup,Room Service,","Main market Dr sabane Road, Mahabaleshwar - 412806 View on Map","overall experience was good and i travel here since i was a kid and i stay in same hotel every time i come i like this place as this place is nearby everything like main market , bus stand, parking zones , restaurants and staff is very much friendly and co-operative and service is also good and the head mr vikas and mr ajay are also very much co-operative
i come here since i was a kid and as always i come here with my family and we like it here and this place is secured for family and even women travelers so i will recommend this place"
Hotel Raj,Pune,India,,3.1/5,"Daily housekeeping,","Bhilarewadi, Katraj Ghat Road, Pune - 400705 View on Map",The worst hotel I have ever visited
Sahyadri Tourist Home,Murud Janjira,India,,3.5/5,"Doctor On Call,Power backup,Restaurant/Coffee Shop,Laundry Service,","Atchikani, Po Kashid, Murud Janjira - 402401 View on Map",Good facilities but location is slightly away from Main Kashid Beach & no local transport available to site seeing around the Beach.
Jade Empire,Bengaluru,India,,3.1/5,"Laundry Service,Free Internet,Power backup,Daily housekeeping,","No- 255/A, Hosur Main Road, KIADB, Near Narayana Hrudalaya, Bommasandra Industrial Area, Bengaluru - 560099 View on Map",very nice rooms and staff are supportive and specially very near to Narayana Hrudayalaya. good place to stay. room services are quite normal. well equipped amenities.
Hotel Rhishabh,Port Blair,India,,3.1/5,"Laundry Service,Power backup,Room Service,Internet,",1974/1 Hotel Rishabh Marine Hill Port Blair South Andaman And Nicobar Island 744101 View on Map,Very bad experience. AC as well as fan both making noise. Bath room poorly managed. Broken bucket for bath. Toilet seat cover dismantled. Not recommendable.
Green Park Bungalow,Murud Janjira,India,,,"Dining,Parking Facility,Daily housekeeping,Room Service,","At Post, Barshiv, Kashid, Murud Janjira - 402401 View on Map",
Hotel Marigold,Gangtok,India,,2.9/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,",31A National Highway Opp Idbi Bank Near Private Bus Stand Gangtok - 737101 View on Map,good stay. love the place and people of gangtok.
NEORA RIVER RESORT,Lataguri,India,,,"Air Conditioning,Indoor Entertainment,Parking Facility,Outdoor Activities,","Khagrijan,Lataguri - 735219 View on Map",
Annapurna Residency,Tirupati,India,,2.6/5,"Air Conditioning,Parking Facility,Laundry Service,CCTV surveillance,","19-9-29B, Opp: Laxhmipuram circle, Tirupatiuchanoor Road, Tirupatiupati. - 517501 View on Map","1) Hotel reception asked for Rs 500 extra as security deposit during check-in which they refunded during check-out.
2) Location is 1 km from central bus stand, 1.8 kms from tirupati railway station.
3) hotel quality is below average but ok to stay for 1 day.
4) old colour box tv in room where only south indian channels are there with free channels like hindi news.
5) toilet has commodes but tap fillings are old.
6) no blanket, extra bed sheets NOT provided.
7) no aqua guard (water purifier ...more"
Sree Bhavani Palace,Bengaluru,India,,3.5/5,"Power backup,Laundry Service,CCTV surveillance,Daily housekeeping,","466 Old Taluk Cutchery Rd, Upparpete, Cottonpet ,bangalore, Bengaluru - 560053 View on Map",good budget hotel located 10 min walk from metro station and Bangalore city station. i had peaceful stay here . room bathroom was neat clean . hotel does not have a restaurant . i got value for money deal in booking my stay so i have no reason to complain .
Hotel Zabarvan Hills,Srinagar,India,,,"Free Internet,Parking Facility,Conference Room,Laundry Service,","Hotel Zabarvan Hills :Indranagar , Sonwar opposite vodafone center, Srinagar - 190001 View on Map",
Hotel Sheel,Shimla,India,,3.9/5,"Doctor On Call,Free Internet,Laundry Service,Dining,","The Mall Fingask Estate Shimla, pinCode-171003 View on Map","great hotel
great staff
good quality food
nice and clean room"
Hotel Galaxy,Dehradun,India,,4.2/5,"Doctor On Call,Free Internet,Air Conditioning,Parking Facility,","11/5, Tyagi Road, Behind Railway Station, Dehradun - 248001 View on Map","calm & clean hotel... good to stay... well behaviors staff. very good location near to railway station, clean room & bathroom
good location & clean room"
Hotel Jeet Villa,Jaisalmer,India,,4.2/5,"Power backup,Outdoor Activities,Internet,","Plot No 49, c.v.s colony,near hanuman circle, Ram Kund, Jaisalmer - 345001 View on Map",Hotel was average. staffs were very sincere and polite to talk. rooms were clean but short in the size.
Robert's Place,Goa,India,,3.9/5,"Restaurant/Coffee Shop,Laundry Service,Smoking Rooms Available,Room Service,","House no 548, Coutinho Vaddo, Near Prim Rose, Vagator, Goa - 403509 View on Map","It was a nice stay, room was neat and clean, food was good, location of hotel was OK."
The Gomti Hotel,Dehradun,India,,4.1/5,"Air Conditioning,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","35/1 , Tyagi Road, Near Railway Station, Dehradun - 248001 View on Map","Nice hotel in good location, having good food, can say good hotel in budget.
staff behaviour os cooperative. "
Hotel Apsara,Shimla,India,,2.4/5,"Laundry Service,Daily housekeeping,Kitchen,","Cart Road Shimla,171001 View on Map","Totally a dirty den and unprofessional.
Unhygienic washrooms with no proper plumbing fixtures and recycling used linens.Stinky place.
No staff to respond food cooked in filthy areas and being served. Somebody will sue you for wrong guidance."
Rose Cottage (Hartola) Ramgarh,,,,,"Power backup,Outdoor Activities,Daily housekeeping,Kitchen,","Village Hartola, Ramgarh, 263158, Nainital View on Map",
Castle House Palolem,Goa,India,,3.9/5,"Doctor On Call,Indoor Entertainment,Outdoor Activities,Travel Assistance,","Colomb Near Masjid, South End Palolem Beach, Canacona, Goa. - 403702 View on Map","Superb hospitality and room 👌
In-house restaurant serves amazingly delicious food. Me and my wife loved the food completely. Be it veg or Non-veg. Breakfast was also very delicious and full of variety. Breakfast was served as buffet. Rest all meals are served on 'a la carte' basis. Room was very clean and fresh. No mosquitoes or any other insects. Roof/cottage type rooms are a bit hot and not so good compared to the ""Premium"" room. We had opted for Premium room. AC in the room was working well  ...more"
The City Club DLF Phase 4,Gurgaon,India,,3.2/5,"Air Conditioning,Swimming Pool,Parking Facility,Conference Room,","Opp. Galleria Market, DLF City, Phase IV, Gurgaon - 122002 View on Map",This is the worst hotel I have ever stayed staff was very rude first of all I checked in at 11.15pm and than there was noise in room I was so tired I thought it must be like that only like that whole night there was noise I called up the staff they said it was on the roof of room some machine is installed and that noise is coming which they know from before. But after complaining also they did nothing. Please don’t stay here
Hotel Lake View,Nainital,India,,2.4/5,"Free Internet,Power backup,Travel Assistance,Room Service,","Upper Mall Road, Near Tallital Rickshaw stand ,Nainital, Uttarakhand - 263001 View on Map","very bad experience,dirty room,flush was not working in toilet,no chance for 2nd time"
HARDIK RESORT,Orchha,India,,3.5/5,"Free Internet,Conference Room,Outdoor Activities,Banquet hall,","Rajaram Colony, Near Phoolbagh Temple Orchha (M.P.) - 472246 View on Map",very bad experience ..very dirty wash room and room .. is it not a resort it is only hotel ...lot of mosquitos in the room
Mirchi Bite A2 -502 Service Apartment,Kolkata,India,,4/59 ,"Doctor On Call,Power backup,Laundry Service,Health-Spa,","Kasba Zone 98,Christopher Road Brindaban Gardens Building A2,Flat No. 502, Kolkata - 700046 View on Map",good place
Hotel Sagar Ratna,Alibaug,India,,3.8/5,"Free Internet,Air Conditioning,Power backup,Room Service,","Hotel Sagar Ratna, Near BSNL Tower, Bypass Road, Alibag-402201. View on Map",Not happy with service(asked extra money for water bottle). Breakfast is worth less as timing are provided in a such a way that nobody can have it. 
Hotel Monarch,,,,3.2/5,"Dining,Indoor Entertainment,Parking Facility,Room Service,","Sector 3 Sagar Kuti Chauraha,Opp.Hindustan Motors Pithampur,454775, Nalchha View on Map",average hotel..service ok not extraordinary... room is spacious but not good for family...ok for business work..room service is not prompt..overall average experience..
Mother Residence Inn Lodge,Bengaluru,India,,2.8/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","#24,Gokul 1st Stage,Mathikere 1st Main Road mathikere ,opp Sri Ranga Bar , Yashwanthpura Bangalore, Bengaluru - 560054 View on Map",Good for the price as in BNGLR wee may noot get a hotel before 1 day or 2 days....at a budget rate...
Highnest,Chennai,India,,3.8/5,"Air Conditioning,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","Off GST Road, Next to Ford Compound, Near Mahindra City Akshya Homes Main Rd, Chennai - 603204 View on Map",the toilets were old and not maintained. the overall cleanliness was poor.
Hotel Alba,Mahabaleshwar,India,,1.3/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","opposite to Masjid ,dr sabne road ,Mahabaleshwar - 412806 View on Map",No doubt about the hotel's location but the management is very arrogant and illiterate with their behaviour
The Kuttalam Heritage,Kutralam,India,,3.8/5,"Doctor On Call,Air Conditioning,Swimming Pool,Indoor Entertainment,","Shenkottai, Courtalam Main Road, Ilanji PO - 625805 View on Map",The stay was comfortable. Poc was very welcoming. Pool is good. Although the free breakfast menu is limited. We stayed for 2 days and almost the items all were repeating. But overall it was good.
Kumbhalgarh Forest Retreat,Kumbhalgarh,India,,3.9/5,"Doctor On Call,Air Conditioning,Swimming Pool,Indoor Entertainment,","Village Beed Ki Bhagal, Kumbhalgarh - 313325 View on Map","Overall it was decent experience overhere. At this price range it is the best resort . Room was big with a nice hill and lake view balcony. Though rooms were dated , need renovation. Balcony wasn't clean and even after room service it was the same dusty. Room service was slow , later knew they had less staff!
Breakfast at restaurant was good, even had dinner and that too was good. Location of the resort is at perfect spot . Front office staff was very helpful . Overall it was good stay for  ...more"
Hotel India,Mussoorie,India,,3.6/5,"Doctor On Call,Free Internet,Parking Facility,Conference Room,","mall road ,Gandhi Chowk, Library Mussoorie - 248179 View on Map","Location of hotel was good,as it is situated on the main mall road.staff was good,but the rooms were not that much satisfied in comparison they showed in photos..no hot water supply in washrooms
Experience was good"
The Anchorage Suites and Villas,Goa,India,,4.1/5,"Power backup,Outdoor Activities,Room Service,Free Internet,","Pequeno Chinvar, Vagator, Anjuna, Bardez, Goa - 403509 View on Map","Loved staying with Anchorage . Best part about the stay is - really co -operative hotel staff . Location and cleanliness is also good . They can improve on availability of food ( no in house kitchen , i guess ) . Overall - very happy . staff went out of their way to help me out , in a difficult situation . really thankful . will def stay again ."
Royal Annex,Cochin,India,,3.1/5,"Power backup,Laundry Service,Outdoor Activities,Room Service,","Opp Baroda Bank ATM,kacheripady,Near MG road,Ernakulam, Kochi - 682018 View on Map","One of my bad hotel experience in less than 8 hours of stay. Very old hotel without proper maintenance. Dark, dirty, old furnitures all places. I have booked three rooms for three couples but they allocated in different corners and different floor of the hotel. Bedbugs and bad smell all way around the room. Best for drinkers"
La Blanche Guest House,Goa,India,,3.8/5,"Air Conditioning,Parking Facility,Laundry Service,Indoor Entertainment,",Gaura vaddo opp tarcar wine shop near literati bookshop calangute bardez Goa - 403516 View on Map,It was located in a good area near to the beach. The caretaker was there to manage the hotel and she was very helpful. Rooms were fine. Security wise it was ok.
Hotel South Indian Heritage,Delhi,India,,3.8/5,"Parking Facility,Outdoor Activities,Laundry Service,CCTV surveillance,","10211, Padam Singh Road,(Ajmal Khan Road), Karol Bagh, Delhi - 110005 View on Map",very good hotel stay. the overall service of the staffs are very good . place is very suitable for shopping.
WelcomHeritage Sheikhpura Kothi,Hansi,India,,4.4/5,"Air Conditioning,Swimming Pool,Parking Facility,Conference Room,","V.P.O Sheikhpura, Petwar Road ,Teh.Hansi, Dist. Hissar Hansi 125033 Hansi - 125033, India - 122002 View on Map","Stayed here on 31st Dec 2019. We had the entire Kothi to ourselves, so the place was super quiet and peaceful. Just the way we (me, Mom and Dad) like it!
It's palacial haveli with 7-8 rooms, and we stayed in th upper Suite. The property is well maintained and has all modern amenities, including good wifi, warm water, oil radiators, etc. in all the rooms. The rooms were hyoooge and well maintained. Mahipal ji, the property owner was in touch with us on phone and sms, even before we arrived. He  ...more"
Polo Inn Guest House,Jodhpur,India,,3.5/5,"Doctor On Call,Laundry Service,Room Service,","NH 65,SH 61,90,1st polo,in Front of Suncity Hospital ,Mandor Road, Paota, Jodhpur - 342006 View on Map","Worst guest house ever.
Clean washroom is the only positive point for this guest house.
Dirty room, dirty closet, dirty bedsheets, smelly rooms, even floor is dirty.
We took a zadu to clean the floor of room in front of owner but he didn't even bothered for this.
Don't stay here even if you get this for free.
Worst experience ever."
Hotel Panihari,Jaisalmer,India,,,"Doctor On Call,Laundry Service,Power backup,Travel Assistance,","34, CVC Colony, Opposite collectorate, near Hanuman circle, Jaisalmer - 345001 View on Map",
Emarald Hotel,Ooty,India,,2.3/5,"Doctor On Call,Air Conditioning,Laundry Service,Room Service,","Achy Apartments, Near Boat House, Governors Shola Road, Ooty - 643004 View on Map","Rooms are clean and big, Good food, Good Staff. Everything good for a budget hotel
But biggest demerit is it is located away from the city and in the night it becomes isolated and dark. SO If you are in this hotel, u cant spend your evening time in the main city for your shopping and you will be stuck in the hotel room.
Good for those who have a personal car so that they can commute."
Young holly wood group of house boats,Srinagar,India,,4.2/5,"Air Conditioning,Parking Facility,Business Services,Laundry Service,","GOLDEN DAL LAKE , Ghat no.12 , 190001 , Srinagar View on Map","Great stay and awesome Dal lake view from House boat. Manager Javed is very friendly, helpful and a responsible person. we felt like we are in our own home. He arranged boat ride and vehicle to soanmarg for very reasonable prices. Room is very clean and well maintained. We went in October last week, its very cold so bed warmer and 24*7 hot water was provided. Food was also arranged by Javed on prior intimation. I Highly recommend this hotel when you visit Srinagar."
New Gousia,Srinagar,India,,,"Laundry Service,CCTV surveillance,Power backup,Daily housekeeping,","kohni khan dalgate , Srinagar - 190001 View on Map",
WELCOME OLIVES,Meerut,India,,3.8/5,"Power backup,Laundry Service,CCTV surveillance,Conference Room,","212, Saket, Main University Road, Near L.I.C office, Meerut - 250003 View on Map",My overall stay in the property was average. The rooms space was not enough for two persons and the washroom was not properly set up. I had dinner over there and the food quality was good. Staff behavior and hotel amenities were nice. Location of the property was also very convenient for me. 
Hotel Spices,Navi Mumbai,India,,4.3/5,"Doctor On Call,Air Conditioning,Conference Room,Banquet hall,","Plot No 93 Sector 3 Next to Kopar Khairane Bus Depot, Koparkhairane, Navi Mumbai - 400709 View on Map","Room is neat and clean, so is the bathroom. Food is very good. Room Service prompt. Location is excellent. Overall a great stay."
R. K. International,Lucknow,India,,3.7/5,"Power backup,Parking Facility,Restaurant/Coffee Shop,Laundry Service,","93/25, Grain Market, Lautouche Road, Lucknow - 226018 View on Map",Great Location. Staff's are very cooperating. Food is good as well. Room is very neat and clean.
Nawal Sagar Palace (A Heritage Property),Bundi,India,,3.8/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","Rawla Ka Chowk, Balchandpada, Bundi - 323001 View on Map",very Nice palace for stay.
Hotel SLV Grand,Tirupati,India,,3.8/5,"Doctor On Call,Power backup,Parking Facility,Restaurant/Coffee Shop,","Beside TTD Srinivasam, Tirupatiumala Bypass Road - 517501 View on Map",it is very near to bus stand and easily accessible.restaurant is also available in the hotel itself
Hotel Gayatri Inn,Nagpur,India,,3.8/5,"Doctor On Call,Air Conditioning,Banquet hall,Business Services,","Plot No:-115A,Near VNIT Behind IT Park, Nagpur - 440022 View on Map","Staffs are courteous, Neat & Clean rooms, Complimentary breakfast is satisfactory but to be improved"
The Deep Woods Resort,Munnar,India,,4.2/5,"Free Internet,Indoor Entertainment,Conference Room,Outdoor Activities,","Pulimoottil Estate, Near Letchmi Tea Estate, Mankulam Road, Munnar - 686563 View on Map","We had a wonderful stay at deep woods. Room was clean and the location was just great. food was also good, staffs were helpful."
Hotel Amar Vilas,Bhopal,India,,3.6/5,"Free Internet,Parking Facility,Banquet hall,Laundry Service,","183, Zone-I, Maharana Pratap Nagar, Bhopal - 462011 View on Map","nice location,easily asscessible,clean rooms,and courteous staff"
Hotel Amber,Lucknow,India,,3.9/5,"Air Conditioning,Parking Facility,Conference Room,Outdoor Activities,","Naka Hindola, Lucknow - 226004 View on Map","Hotel is located very near to Lucknow railway station (Charbag). Rooms are spacious enough, neat & clean. Staffs are accomodative. But they strictly not allow unmarried couples. Even they may ask for marriage certificate in case of young couples. So it is better to keep marriage certificate with young couples to check in the hotel. Overall experience is satisfactory."
Houseboat Inshallah Deluxe,Srinagar,India,,4/57 ,"Power backup,Parking Facility,Laundry Service,Smoking Rooms Available,",nigeen Lake Srinagar 190006 opp nigeen club View on Map,"Stay was nice...
but food was too costly..
will advise to take your meal outside at some other place"
Hotel Gordon House Katra,Katra,India,,3.9/5,"Air Conditioning,Parking Facility,Laundry Service,Smoking Rooms Available,","Near Yes Bank Lane Tea Garden Jammu Road , Katra - 182301 View on Map",Helpful staff. Value For money. Nice location.
The Retreat,Chennai,India,,2.6/5,"Free Internet,Air Conditioning,Parking Facility,Outdoor Activities,","NO-208, velacherry Main Road, camp Road Junction,selaiyur, Chennai - 600073 View on Map",Very poorly maintained rooms not worth the money at all. No minibar available and no Cuboards too. I will never ever book a room in Retreat Hotel Chennai.
Houseboat Piano,Srinagar,India,,4.7/5,"Laundry Service,Dining,Power backup,Daily housekeeping,","Dal Lake,Srinagar - 190001 View on Map",Photoreview
VITS Kalyan Bhiwandi,,,,3.9/5,"Doctor On Call,Free Internet,Air Conditioning,Indoor Entertainment,","Rajnoli Village,Kalyan Bhiwandi Road ,Bhiwandi, Thane - 421302 View on Map","My stay was very good and hotel staff is very supportive and hotel room is also good, it was satifying stay also food taste is average but it costly ...."
Victoria Garden Houseboat,Srinagar,India,,4.1/5,"Doctor On Call,Dining,Indoor Entertainment,Room Service,","Ghat No, Dal Lake, Srinagar, Kashmir - 190001 View on Map",Best houseboat with one of the finest services provided by HB owner Shabbir and Nazir.
The Reserve Fagu,,,,,"Parking Facility,Outdoor Activities,Room Service,","Lower Fagu Tea Estate, Gorubatha, West Bengal, Dooars - 735221 View on Map",
Hotel Grate,Zirakpur,India,,4.4/5,"Free Internet,Parking Facility,Conference Room,Banquet hall,","Zirakpur Kalka Shimla Highway, Near Grace Banquet Hall, Dhakoli. - 160104 View on Map","Value for money. Neat and clean room and bathroom. Nice food.
"
Ramba Palace,Pahalgam,India,,2.3/5,"Doctor On Call,Laundry Service,Outdoor Activities,Room Service,","3,West Bank Lidder Side,Mamal Pahalgam - 192401 View on Map","This place is run in competently by a uncaring and callous owner. He showed up when we checked in, made all kinds of offers about help with sightseeing and claims about hotel facilities, then didn't deliver on any of his promises, and disappeared for the rest of our stay almost until we were about to check out. The only staff actually there and running the place are an old man, Akbar bhai, who was untrained and overworked, albeit very friendly and trying to be helpful, and an even more untrained ...more"
Hotel Heiwa Inn,,,,4.2/5,"Air Conditioning,Parking Facility,Laundry Service,CCTV surveillance,","67 Hari Kishan Somani Marg , Near Hathroi Fort Ajmer Road, Jaipur. - 302001 View on Map","great place, awesome location near Bus stand and railway station and very helpful host"
Venus Holiday Home,Ooty,India,,3.3/5,"Laundry Service,Smoking Rooms Available,Parking Facility,Daily housekeeping,","94,Hospital Road, Ooty - 643001 View on Map","it's good
easily accessible location..nearby bus stand...calm location"
Hotel Golden Castle,Katra,India,,3/548,"Power backup,Indoor Entertainment,Room Service,","Hotel Golden castle ,kashmir road,Katra - 182301 View on Map",there was no ventilation in the room smell was coming. room was very congested. bed size was very small. cleanless was not up to mark. overall not happy. I will give only 2 star rating out of 5.
Royal Resorts,Yercaud,India,,3.4/5,"Doctor On Call,Power backup,Parking Facility,Restaurant/Coffee Shop,","Nagalore road Opp petrol bunk, Yercaud - 636602 View on Map","very bad experience.
No hot water in bathroom
power cut happen frequently, genset is not operated
water taps are damaged
Toilet health faucet and flush tank having issues
sanitary items not provided
There is no drinking water provided in room.
overall not up to the mark."
MILAN CONTINENTAL,Delhi,India,,2.5/5,"Travel Assistance,CCTV surveillance,Room Service,Daily housekeeping,",8190/6 Arakashan Road Pahar Ganj Delhi - 110055 View on Map,darty room. no service quality. nd darty washroom nd. ac not work very bad experience
Hotel Pandav Inn,Pachmarhi,India,,3.7/5,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","01 Arvind Road, Pachmarhi , Hoshangabad , 461881 View on Map",nice hotel and staff service pachmarhi is beautiful place
Hotel Pandav,Pachmarhi,India,,3.9/5,"Doctor On Call,Air Conditioning,Parking Facility,Laundry Service,","Arvind Road, Pachmarhi, Hoshangabad, Madhyapradesh - 461881 View on Map","very nice hospitality
the best thing i will say is the services, quality of rooms and bathrooms
thank you goibibo for such a short problem solving time and understanding our problem.
privacy, friendly staff and sevices"
Hotel New Swastik,Jammu,India,,4/563,"Power backup,Parking Facility,Laundry Service,CCTV surveillance,","Gurdwara sunder singh road, Jammu - 180001 View on Map","nice hotel to stay, food is good. rooms are clean"
Heritage Resort Bikaner,Bikaner,India,,4.3/5,"Doctor On Call,Air Conditioning,Swimming Pool,Indoor Entertainment,","At 9 Kms Milestone, Jaipur Road, Bikaner - 334001 View on Map",great place to be .. easily accessible .. good staff .. great environment .. awesome food .. what else do you need ??.. 
Hotel Diamond,Mumbai,India,,3.8/5,"Doctor On Call,Air Conditioning,Parking Facility,Laundry Service,","Plot No 70F, SS, Central Avenue Road, Chembur East, Mumbai - 400071 View on Map",decent property. good staff. room service available. good location. clean and neat. one point deducted for water problem in bathroom. 
